_id,province_id,province,amphoe_id,area_id,amphoe,romanized_amphoe,amphoe_short,romanized_amphoe_short
142,21,ระยอง,2101,21010000,อำเภอเมืองระยอง,Amphoe Mueang Rayong,เมืองระยอง,Mueang Rayong
143,21,ระยอง,2102,21020000,อำเภอบ้านฉาง,Amphoe Ban Chang,บ้านฉาง,Ban Chang
144,21,ระยอง,2103,21030000,อำเภอแกลง,Amphoe Klaeng,แกลง,Klaeng
145,21,ระยอง,2104,21040000,อำเภอวังจันทร์,Amphoe Wang Chan,วังจันทร์,Wang Chan
146,21,ระยอง,2105,21050000,อำเภอบ้านค่าย,Amphoe Ban Khai,บ้านค่าย,Ban Khai
147,21,ระยอง,2106,21060000,อำเภอปลวกแดง,Amphoe Pluak Daeng,ปลวกแดง,Pluak Daeng
148,21,ระยอง,2107,21070000,อำเภอเขาชะเมา,Amphoe Khao Chamao,เขาชะเมา,Khao Chamao
149,21,ระยอง,2108,21080000,อำเภอนิคมพัฒนา,Amphoe Nikhom Phatthana,นิคมพัฒนา,Nikhom Phatthana
150,22,จันทบุรี,2201,22010000,อำเภอเมืองจันทบุรี,Amphoe Mueang Chanthaburi,เมืองจันทบุรี,Mueang Chanthaburi
151,22,จันทบุรี,2202,22020000,อำเภอขลุง,Amphoe Khlung,ขลุง,Khlung
152,22,จันทบุรี,2203,22030000,อำเภอท่าใหม่,Amphoe Tha Mai,ท่าใหม่,Tha Mai
153,22,จันทบุรี,2204,22040000,อำเภอโป่งน้ำร้อน,Amphoe Pong Nam Ron,โป่งน้ำร้อน,Pong Nam Ron
154,22,จันทบุรี,2205,22050000,อำเภอมะขาม,Amphoe Makham,มะขาม,Makham
155,22,จันทบุรี,2206,22060000,อำเภอแหลมสิงห์,Amphoe Laem Sing,แหลมสิงห์,Laem Sing
156,22,จันทบุรี,2207,22070000,อำเภอสอยดาว,Amphoe Soi Dao,สอยดาว,Soi Dao
157,22,จันทบุรี,2208,22080000,อำเภอแก่งหางแมว,Amphoe Kaeng Hang Maeo,แก่งหางแมว,Kaeng Hang Maeo
158,22,จันทบุรี,2209,22090000,อำเภอนายายอาม,Amphoe Na Yai Am,นายายอาม,Na Yai Am
159,22,จันทบุรี,2210,22100000,อำเภอเขาคิชฌกูฏ,Amphoe Khao Khitchakut,เขาคิชฌกูฏ,Khao Khitchakut
160,23,ตราด,2301,23010000,อำเภอเมืองตราด,Amphoe Mueang Trat,เมืองตราด,Mueang Trat
161,23,ตราด,2302,23020000,อำเภอคลองใหญ่,Amphoe Khlong Yai,คลองใหญ่,Khlong Yai
162,23,ตราด,2303,23030000,อำเภอเขาสมิง,Amphoe Khao Saming,เขาสมิง,Khao Saming
163,23,ตราด,2304,23040000,อำเภอบ่อไร่,Amphoe Bo Rai,บ่อไร่,Bo Rai
164,23,ตราด,2305,23050000,อำเภอแหลมงอบ,Amphoe Laem Ngop,แหลมงอบ,Laem Ngop
165,23,ตราด,2306,23060000,อำเภอเกาะกูด,Amphoe Ko Kut,เกาะกูด,Ko Kut
